進場方案,進場代碼,進場類型,出場方案,出場代碼,出場類型,樣本數,平均淨報酬%,中位淨報酬%,勝率%,平均已投入資金報酬%,中位已投入資金報酬%,平均持有日,中位持有日,中位MFE%,中位MAE%,中位最大回撤%,獲利虧損比,加滿比例%,平均最大投入比例%,平均買進次數,平均賣出次數,結構風險退出率%,固定到期率%,年度有效年數,年度正中位報酬率%,跨年中位報酬%,最差年度中位報酬%,綜合分數,總排名,可靠度
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,過熱70後RS回落5＋結構風險,hot70_rs5,全出,3756,1.529,-1.531,28.43,0.804,-2.364,14.07,9.0,1.337,-1.978,-4.423,4.078,48.46,78.48,2.36,1.0,84.13,1.3,4,0.0,-1.821,-1.927,43.38,30,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,分層獲利管理＋結構風險,tiered,分批出場,3756,1.102,-1.703,36.53,1.102,-1.703,14.08,9.0,2.208,-2.479,-4.498,2.396,100.0,100.0,1.0,1.54,84.13,1.3,4,0.0,-2.129,-2.222,43.0,31,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,過熱70＋結構風險,heat70,全出,3756,0.51,-1.417,39.38,0.51,-1.417,8.34,6.0,1.881,-2.316,-2.677,1.824,100.0,100.0,1.0,1.0,66.83,0.13,4,0.0,-1.742,-1.823,43.0,31,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,過熱80＋結構風險,heat80,全出,3756,0.598,-1.555,38.02,0.598,-1.555,8.81,6.0,1.972,-2.415,-3.023,1.974,100.0,100.0,1.0,1.0,69.12,0.19,4,0.0,-1.981,-2.001,42.12,33,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,動態70/90＋結構風險,dynamic70_90,全出,3756,0.608,-1.581,37.75,0.608,-1.581,8.97,6.0,1.996,-2.427,-3.103,1.997,100.0,100.0,1.0,1.0,70.21,0.13,4,0.0,-1.971,-2.021,41.38,34,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,動態80/90＋結構風險,dynamic80_90,全出,3756,0.655,-1.649,37.17,0.655,-1.649,9.26,7.0,2.041,-2.48,-3.262,2.071,100.0,100.0,1.0,1.0,71.59,0.19,4,0.0,-2.062,-2.106,40.0,35,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,只做結構風險退出,protective,風險基準,3756,1.684,-1.651,26.14,0.875,-2.57,15.78,10.0,1.369,-2.164,-4.986,4.656,50.75,79.57,2.39,1.0,97.98,2.02,4,0.0,-1.916,-2.112,39.38,36,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,過熱70後RS回落5＋結構風險,hot70_rs5,全出,3756,1.816,-1.79,31.04,1.64,-2.203,14.07,9.0,1.855,-2.377,-5.083,3.614,81.87,90.93,1.82,1.0,84.13,1.3,4,0.0,-2.146,-2.258,39.0,37,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,過熱70後RS回落5＋結構風險,hot70_rs5,全出,3756,1.883,-2.117,31.71,1.883,-2.117,14.07,9.0,2.246,-2.764,-5.754,3.431,100.0,100.0,1.0,1.0,84.13,1.3,4,0.0,-2.445,-2.704,36.0,38,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,只做結構風險退出,protective,風險基準,3756,1.977,-1.97,29.29,1.747,-2.357,15.78,10.0,1.881,-2.523,-5.783,4.001,82.85,91.43,1.83,1.0,97.98,2.02,4,0.0,-2.25,-2.467,35.75,39,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,只做結構風險退出,protective,風險基準,3756,2.051,-2.265,30.01,2.051,-2.265,15.78,10.0,2.289,-2.92,-6.338,3.789,100.0,100.0,1.0,1.0,97.98,2.02,4,0.0,-2.667,-2.998,34.62,40,高
