進場群組,策略,策略代碼,類型,樣本數,觸發樣本數,未觸發樣本數,有效觸發率%,平均報酬%,中位報酬%,勝率%,平均持有日,中位持有日,平均峰值捕捉率%,中位峰值捕捉率%,平均高點回吐%,中位高點回吐%,平均MAE%,平均出場後5日%,平均出場後10日%,觸發_平均報酬%,觸發_中位報酬%,觸發_勝率%,觸發_平均持有日,觸發_中位持有日,觸發_平均峰值捕捉率%,觸發_中位峰值捕捉率%,觸發_平均高點回吐%,觸發_中位高點回吐%,觸發_平均MAE%,觸發_平均出場後5日%,觸發_平均出場後10日%,未觸發_平均報酬%,未觸發_中位報酬%,未觸發_勝率%,未觸發_平均持有日,未觸發_中位持有日,未觸發_平均峰值捕捉率%,未觸發_中位峰值捕捉率%,未觸發_平均高點回吐%,未觸發_中位高點回吐%,未觸發_平均MAE%,未觸發_平均出場後5日%,未觸發_平均出場後10日%,政策分數,訊號分數,綜合分數,群組排名,是否進入綜合排名,可靠度,年度有效年數,年度正中位報酬年數,年度正報酬率%,跨年中位報酬%,最差年度中位報酬%,最佳年度中位報酬%,最低年度觸發率%,年度穩定分數
全部鴨嘴新進,過熱分數≥70,heat70,過熱,42056,24352,17704,57.9,1.846,2.686,59.68,33.57,37.0,-38.95,12.73,23.826,12.286,-8.608,0.281,0.906,8.058,8.072,85.43,14.35,6.0,26.47,28.57,32.534,15.972,-5.186,0.389,1.28,-6.699,-5.526,24.24,60.0,60.0,-133.49,-127.15,11.848,10.064,-13.315,0.132,0.388,69.66,62.27,70.89,3.0,是,高,4,4,100.0,7.944,6.828,8.886,54.82,100.0
全部鴨嘴新進,過熱分數≥85,heat85,過熱,42056,20643,21413,49.08,2.21,2.392,57.73,37.91,60.0,-42.75,12.5,23.461,12.432,-9.273,0.262,0.899,10.685,10.328,88.98,14.99,7.0,33.45,33.33,35.032,16.81,-4.95,0.371,1.399,-5.959,-5.052,27.6,60.0,60.0,-119.59,-97.14,12.307,10.498,-13.441,0.156,0.414,66.36,64.09,70.38,4.0,是,高,4,4,100.0,10.207,9.458,10.979,45.71,100.0
全部鴨嘴新進,月線乖離≥8%,bias8,過熱,42056,26317,15739,62.58,1.777,2.5,59.65,32.26,32.0,-37.6,12.1,23.895,12.234,-8.446,0.279,0.894,6.602,6.937,80.2,15.68,8.0,15.47,24.51,31.359,15.441,-6.171,0.359,1.196,-6.292,-5.183,25.29,60.0,60.0,-130.39,-120.0,11.414,9.608,-12.251,0.145,0.387,64.55,63.41,69.35,5.0,是,高,4,4,100.0,6.765,4.988,8.065,59.32,100.0
全部鴨嘴新進,過熱分數≥90,heat90,過熱,42056,19218,22838,45.7,2.376,2.23,56.87,39.7,60.0,-44.3,12.31,23.296,12.556,-9.565,0.347,0.938,11.818,11.413,89.76,15.58,8.0,34.86,34.65,36.189,17.435,-5.09,0.574,1.534,-5.569,-4.788,29.18,60.0,60.0,-113.79,-85.71,12.446,10.662,-13.33,0.157,0.433,61.59,62.5,67.76,6.0,是,高,4,4,100.0,11.283,10.515,12.0,42.33,100.0
全部鴨嘴新進,鴨嘴正式失效,duck_exit,鴨嘴,42056,42044,12,99.97,1.013,-0.773,34.92,6.51,3.0,-29.56,-4.52,24.659,12.862,-3.239,0.317,0.749,0.969,-0.775,34.91,6.49,3.0,-29.59,-4.54,24.662,12.865,-3.24,0.315,0.746,156.793,109.312,100.0,60.0,60.0,89.1,87.94,11.245,6.418,-1.522,7.544,9.824,38.18,51.59,38.49,15.0,是,高,4,0,0.0,-0.938,-1.031,-0.478,99.97,0.0
新進+RS85+未過熱,RS曾≥85後跌破85,rs_cross85,RS,5154,2905,2249,56.36,6.182,-1.958,42.34,38.38,47.0,-53.96,-8.79,24.598,18.572,-11.663,0.326,0.857,-4.788,-4.192,26.2,21.64,17.0,-85.0,-30.87,25.318,17.814,-10.785,0.177,0.496,20.352,9.524,63.18,60.0,60.0,-14.62,34.33,23.668,19.86,-12.796,0.52,1.329,54.32,44.77,41.87,14.0,是,高,4,0,0.0,-5.043,-5.388,-2.878,47.08,0.0
新進+RS85+未過熱,RS自持有高點回落5,rs_drop5,RS,5154,3713,1441,72.04,5.928,-2.246,42.14,33.79,30.0,-54.18,-10.1,24.852,18.671,-10.605,0.221,0.732,-3.125,-4.187,30.76,23.61,20.0,-78.27,-25.0,25.087,18.326,-10.311,0.161,0.6,29.256,18.919,71.48,60.0,60.0,6.8,49.17,24.247,19.856,-11.362,0.378,1.076,45.68,47.95,39.85,16.0,是,高,4,0,0.0,-4.816,-5.149,-2.759,60.27,0.0
新進+RS85+未過熱,RS自持有高點回落10,rs_drop10,RS,5154,2546,2608,49.4,6.864,-2.063,44.66,45.35,60.0,-58.19,-9.13,23.916,18.894,-12.965,0.347,0.856,-6.857,-7.421,24.04,30.35,29.0,-110.14,-62.5,25.776,19.443,-13.99,0.128,0.355,20.258,9.077,64.8,60.0,60.0,-8.76,35.0,22.101,18.112,-11.965,0.562,1.35,47.73,36.14,35.36,19.0,是,高,4,0,0.0,-8.581,-9.091,-5.234,37.23,0.0
新進+RS85+未過熱,跌破MA20,below_ma20,價格,5154,5141,13,99.75,1.473,-2.057,29.88,9.09,5.0,-38.6,-9.04,29.306,17.896,-4.399,0.513,1.159,1.131,-2.06,29.7,8.96,5.0,-38.92,-9.15,29.336,17.928,-4.405,0.524,1.168,137.066,109.677,100.0,60.0,60.0,87.12,90.34,17.615,12.203,-2.081,-3.838,-2.475,38.41,49.77,37.76,17.0,是,高,4,0,0.0,-2.003,-2.29,-1.823,99.7,0.0
新進+RS85+未過熱,跌破MA60,below_ma60,價格,5154,4430,724,85.95,4.599,-4.006,31.92,26.28,21.0,-57.33,-21.05,26.181,18.976,-7.943,0.282,1.157,-4.009,-5.128,20.84,20.77,17.0,-79.23,-33.11,27.379,19.644,-8.563,0.326,1.24,57.266,45.229,99.72,60.0,60.0,73.71,75.0,18.852,13.659,-4.148,0.014,0.65,33.41,34.77,29.01,22.0,是,高,4,0,0.0,-5.048,-5.684,-4.541,82.97,0.0
