進場方案,進場代碼,出場方案,出場代碼,年度,樣本數,平均淨報酬%,中位淨報酬%,勝率%,中位最大回撤%
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態70/90＋結構風險,dynamic70_90,2025,667,-0.312,-1.372,30.13,-2.106
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態70/90＋結構風險,dynamic70_90,2026,451,0.275,-1.284,36.59,-1.69
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態80/90＋結構風險,dynamic80_90,2023,1502,1.228,-0.872,39.21,-2.304
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態80/90＋結構風險,dynamic80_90,2024,1136,0.018,-1.394,33.54,-2.149
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態80/90＋結構風險,dynamic80_90,2025,667,-0.284,-1.384,29.84,-2.291
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態80/90＋結構風險,dynamic80_90,2026,451,0.312,-1.353,35.48,-1.96
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,只做結構風險退出,protective,2023,1502,2.634,-1.303,30.96,-5.312
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,只做結構風險退出,protective,2024,1136,0.033,-2.112,22.62,-5.146
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,只做結構風險退出,protective,2025,667,-0.221,-1.765,21.44,-3.929
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,只做結構風險退出,protective,2026,451,5.501,-2.067,25.94,-5.768
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,固定60日（不做結構風險）,hold60,2023,1502,8.35,1.804,55.73,-13.338
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,固定60日（不做結構風險）,hold60,2024,1136,1.314,-4.843,35.65,-18.273
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,固定60日（不做結構風險）,hold60,2025,667,-2.909,-5.166,30.13,-16.952
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,固定60日（不做結構風險）,hold60,2026,451,16.459,0.742,51.66,-20.61
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70後RS回落5＋結構風險,hot70_rs5,2023,1502,2.51,-1.179,33.09,-4.498
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70後RS回落5＋結構風險,hot70_rs5,2024,1136,0.057,-1.927,25.35,-4.584
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70後RS回落5＋結構風險,hot70_rs5,2025,667,0.035,-1.727,23.69,-3.674
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70後RS回落5＋結構風險,hot70_rs5,2026,451,4.181,-1.914,27.72,-5.311
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70＋結構風險,heat70,2023,1502,1.081,-0.67,41.41,-1.826
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70＋結構風險,heat70,2024,1136,-0.06,-1.208,36.0,-1.777
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70＋結構風險,heat70,2025,667,-0.35,-1.26,32.38,-1.833
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱70＋結構風險,heat70,2026,451,0.222,-1.102,39.47,-1.139
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱80＋結構風險,heat80,2023,1502,1.17,-0.774,40.28,-1.987
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱80＋結構風險,heat80,2024,1136,-0.008,-1.318,34.33,-1.991
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱80＋結構風險,heat80,2025,667,-0.309,-1.324,31.48,-2.061
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,過熱80＋結構風險,heat80,2026,451,0.239,-1.309,36.59,-1.69
預備80試單50%→右側65加滿,stage_50_50,分層獲利管理＋結構風險,tiered,2023,1502,2.029,-0.899,40.81,-3.824
預備80試單50%→右側65加滿,stage_50_50,分層獲利管理＋結構風險,tiered,2024,1136,0.013,-1.743,33.89,-4.332
預備80試單50%→右側65加滿,stage_50_50,分層獲利管理＋結構風險,tiered,2025,667,-0.156,-1.699,30.73,-3.534
預備80試單50%→右側65加滿,stage_50_50,分層獲利管理＋結構風險,tiered,2026,451,2.0,-1.875,34.81,-4.481
預備80試單50%→右側65加滿,stage_50_50,動態70/90＋結構風險,dynamic70_90,2023,1502,1.42,-0.871,41.68,-2.625
預備80試單50%→右側65加滿,stage_50_50,動態70/90＋結構風險,dynamic70_90,2024,1136,-0.028,-1.597,35.3,-2.704
預備80試單50%→右側65加滿,stage_50_50,動態70/90＋結構風險,dynamic70_90,2025,667,-0.351,-1.648,32.23,-2.532
預備80試單50%→右側65加滿,stage_50_50,動態70/90＋結構風險,dynamic70_90,2026,451,0.399,-1.691,36.81,-2.249
預備80試單50%→右側65加滿,stage_50_50,動態80/90＋結構風險,dynamic80_90,2023,1502,1.47,-0.9,41.08,-2.76
預備80試單50%→右側65加滿,stage_50_50,動態80/90＋結構風險,dynamic80_90,2024,1136,0.002,-1.729,34.51,-2.907
預備80試單50%→右側65加滿,stage_50_50,動態80/90＋結構風險,dynamic80_90,2025,667,-0.293,-1.679,32.08,-2.738
預備80試單50%→右側65加滿,stage_50_50,動態80/90＋結構風險,dynamic80_90,2026,451,0.441,-1.775,35.7,-2.385
預備80試單50%→右側65加滿,stage_50_50,只做結構風險退出,protective,2023,1502,3.104,-1.331,34.95,-5.804
預備80試單50%→右側65加滿,stage_50_50,只做結構風險退出,protective,2024,1136,0.075,-2.467,25.35,-6.229
預備80試單50%→右側65加滿,stage_50_50,只做結構風險退出,protective,2025,667,-0.13,-2.156,24.59,-4.614
預備80試單50%→右側65加滿,stage_50_50,只做結構風險退出,protective,2026,451,6.128,-2.343,27.27,-6.656
預備80試單50%→右側65加滿,stage_50_50,固定60日（不做結構風險）,hold60,2023,1502,9.279,2.751,57.52,-14.195
預備80試單50%→右側65加滿,stage_50_50,固定60日（不做結構風險）,hold60,2024,1136,1.552,-4.786,37.5,-19.955
預備80試單50%→右側65加滿,stage_50_50,固定60日（不做結構風險）,hold60,2025,667,-2.942,-5.041,31.78,-17.878
預備80試單50%→右側65加滿,stage_50_50,固定60日（不做結構風險）,hold60,2026,451,17.872,2.458,53.22,-21.794
預備80試單50%→右側65加滿,stage_50_50,過熱70後RS回落5＋結構風險,hot70_rs5,2023,1502,2.97,-1.237,36.15,-4.974
預備80試單50%→右側65加滿,stage_50_50,過熱70後RS回落5＋結構風險,hot70_rs5,2024,1136,0.089,-2.258,27.64,-5.505
預備80試單50%→右側65加滿,stage_50_50,過熱70後RS回落5＋結構風險,hot70_rs5,2025,667,0.116,-2.079,26.54,-4.281
預備80試單50%→右側65加滿,stage_50_50,過熱70後RS回落5＋結構風險,hot70_rs5,2026,451,4.84,-2.212,29.27,-5.991
預備80試單50%→右側65加滿,stage_50_50,過熱70＋結構風險,heat70,2023,1502,1.269,-0.785,42.94,-2.318
預備80試單50%→右側65加滿,stage_50_50,過熱70＋結構風險,heat70,2024,1136,-0.095,-1.412,36.88,-2.295
預備80試單50%→右側65加滿,stage_50_50,過熱70＋結構風險,heat70,2025,667,-0.411,-1.539,34.18,-2.329
預備80試單50%→右側65加滿,stage_50_50,過熱70＋結構風險,heat70,2026,451,0.36,-1.286,39.47,-1.584
預備80試單50%→右側65加滿,stage_50_50,過熱80＋結構風險,heat80,2023,1502,1.389,-0.865,41.88,-2.564
預備80試單50%→右側65加滿,stage_50_50,過熱80＋結構風險,heat80,2024,1136,-0.022,-1.58,35.21,-2.607
預備80試單50%→右側65加滿,stage_50_50,過熱80＋結構風險,heat80,2025,667,-0.336,-1.626,33.43,-2.48
預備80試單50%→右側65加滿,stage_50_50,過熱80＋結構風險,heat80,2026,451,0.374,-1.715,36.59,-2.249
預備80＋RS70＋市場改善｜一次買,single_pre80,分層獲利管理＋結構風險,tiered,2023,1502,2.192,-1.017,41.08,-4.219
預備80＋RS70＋市場改善｜一次買,single_pre80,分層獲利管理＋結構風險,tiered,2024,1136,0.03,-2.187,34.33,-4.998
預備80＋RS70＋市場改善｜一次買,single_pre80,分層獲利管理＋結構風險,tiered,2025,667,-0.213,-2.071,31.18,-4.001
預備80＋RS70＋市場改善｜一次買,single_pre80,分層獲利管理＋結構風險,tiered,2026,451,2.115,-2.222,34.81,-5.373
預備80＋RS70＋市場改善｜一次買,single_pre80,動態70/90＋結構風險,dynamic70_90,2023,1502,1.568,-0.964,41.88,-3.019
預備80＋RS70＋市場改善｜一次買,single_pre80,動態70/90＋結構風險,dynamic70_90,2024,1136,-0.01,-2.021,35.65,-3.236
預備80＋RS70＋市場改善｜一次買,single_pre80,動態70/90＋結構風險,dynamic70_90,2025,667,-0.399,-2.01,32.68,-3.168
預備80＋RS70＋市場改善｜一次買,single_pre80,動態70/90＋結構風險,dynamic70_90,2026,451,0.461,-1.933,36.81,-2.801
預備80＋RS70＋市場改善｜一次買,single_pre80,動態80/90＋結構風險,dynamic80_90,2023,1502,1.618,-1.016,41.34,-3.186
預備80＋RS70＋市場改善｜一次買,single_pre80,動態80/90＋結構風險,dynamic80_90,2024,1136,0.033,-2.106,34.95,-3.485
預備80＋RS70＋市場改善｜一次買,single_pre80,動態80/90＋結構風險,dynamic80_90,2025,667,-0.349,-2.057,32.53,-3.327
預備80＋RS70＋市場改善｜一次買,single_pre80,動態80/90＋結構風險,dynamic80_90,2026,451,0.501,-2.068,35.7,-3.139
預備80＋RS70＋市場改善｜一次買,single_pre80,只做結構風險退出,protective,2023,1502,3.279,-1.555,35.62,-6.204
預備80＋RS70＋市場改善｜一次買,single_pre80,只做結構風險退出,protective,2024,1136,0.028,-2.918,26.5,-6.898
預備80＋RS70＋市場改善｜一次買,single_pre80,只做結構風險退出,protective,2025,667,-0.194,-2.416,24.89,-5.137
預備80＋RS70＋市場改善｜一次買,single_pre80,只做結構風險退出,protective,2026,451,6.383,-2.998,27.72,-8.175
預備80＋RS70＋市場改善｜一次買,single_pre80,固定60日（不做結構風險）,hold60,2023,1502,9.733,3.48,58.46,-15.072
預備80＋RS70＋市場改善｜一次買,single_pre80,固定60日（不做結構風險）,hold60,2024,1136,1.723,-5.052,38.38,-21.41
預備80＋RS70＋市場改善｜一次買,single_pre80,固定60日（不做結構風險）,hold60,2025,667,-3.042,-5.647,32.38,-18.857
預備80＋RS70＋市場改善｜一次買,single_pre80,固定60日（不做結構風險）,hold60,2026,451,19.679,3.438,54.55,-22.629
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70後RS回落5＋結構風險,hot70_rs5,2023,1502,3.14,-1.432,36.88,-5.604
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70後RS回落5＋結構風險,hot70_rs5,2024,1136,0.073,-2.704,28.35,-6.373
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70後RS回落5＋結構風險,hot70_rs5,2025,667,0.047,-2.345,26.99,-4.834
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70後RS回落5＋結構風險,hot70_rs5,2026,451,4.97,-2.545,29.93,-7.719
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70＋結構風險,heat70,2023,1502,1.423,-0.9,43.08,-2.704
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70＋結構風險,heat70,2024,1136,-0.09,-1.823,37.24,-2.868
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70＋結構風險,heat70,2025,667,-0.465,-1.792,34.63,-2.76
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱70＋結構風險,heat70,2026,451,0.421,-1.691,39.47,-2.069
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱80＋結構風險,heat80,2023,1502,1.54,-0.955,42.08,-2.897
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱80＋結構風險,heat80,2024,1136,0.0,-2.001,35.65,-3.167
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱80＋結構風險,heat80,2025,667,-0.387,-1.977,33.88,-3.083
預備80＋RS70＋市場改善｜一次買,single_pre80,過熱80＋結構風險,heat80,2026,451,0.429,-1.984,36.59,-2.778
